name,job_title,company
Dr. Rita McGrath,Thinkers50 and Best-Selling Business Author,Thinkers50
Josh Bersin,Industry Analyst and Thought Leader,Josh-Bersin-300x110
Lucy Adams,CEO of Disruptive HR and Best-selling Author,Disruptive-HR.-300x110
Jane Sendall,"VP, Learning & Organisation Development, EMEA & Asia Pacific",Warner-Bros-300x110
Gordon Fuller,Chief Learning Officer,IBM
Bruce Daisley,EMEA Vice President of Twitter,Twitter-300x110-1
Angela Roseboro,Head of Diversity,Dropbox-300x110
David Green,People Analytics Leader,Insight222-300x110
Abbie Martin,Account Executive,Peakon
Alastair Campbell,Corporate Business Manager,Texthelp
Alex Clayton,HR Director,Legal-General
Alex Cresswell,"Managing Director, EMEA",Pymetrics
Alex Tullett,Head of Benefit Strategy,Capita
Andrew Drake,Consulting and Proposition Director,JLT
Andy Dodman,Chief Operating Officer,The-University-of-Sheffield
Angel Conley,Head of Learning and Development,IQ-Student-Accommodation
Angus McCarey,Chief Executive,Hive-Learning
Angus Ridgway,CEO and Co-Founder,Potentialife
Anna Seely,"Principal, Talent Strategy Consultant",mercer
Anthony Burrows,Managing Partner,Intelligent-Emotion
Anthony McFeely,Head of HR – Robotics and Motion,ABB
Antony Heljula,Technical Director,Peak-Indicators
Becky Ivers,People Director – Expansion,Heathrow
Birthe Mester,"Global Head for Performance, Engagement and Culture",deutsche-bank-logo-wallpaper
Bojana Zupanic,Head of Succession,Danfoss
Candice Cross,Group Head of Diversity and Inclusive Culture,BT
Caroline Roberts,Head of People and Talent,VisitBritain-1
Catherine Berney,International Leadership and Organisational Development Consultant,Mannaz
Charlotte Gell,Group Leadership Training - Group Academy,Generali
Chris Wakely,Executive VP – Global Enterprise,Benify
Christopher Lorenz,Co-Founder & Head of Science,soma_logo-1
Claudine Wilson,Employer Branding and Recruitment Marketing,Salesforce
Clyde Marwick,Group HR Director,Baxters
Colin Ireland,Research Manager,OCR
Dan Hammond,Chief Disruption Officer,LIW
Dasha Kraft,Lead for Learning and Knowledge Europe,IBM
David Hall,Services Director,Peak-Indicators
David Heffernan,Vice President Human Resources,IBM
David Jackson,National Sales Manager,Hitachi
Denise Willett,Senior Director - EMEA,Achievers-300x110
Dhanjaye Damhar,Business Development Manager,Newland-Chase-1
Diletta D’Onofrio,"Senior Director, Head of Digital Transformation",SnapLogic
Dominic Ashley-Timms,Managing Director,Notion
Dominic Fitch,Head of Creative Change,impact-300x110
Dr Melissa K. Hungerford,"VP, Global Talent Management and Inclusion",Avon
Dr Tim Sparkes,Business Psychologist,Hudson-new-300x110
Dr. Barbara Zesik,Chief People Officer,Santa-Fe
Dr. Nick Taylor,CEO,Unmind
Dr. Reza Moussavian,SVP Digital & Innovation,Deutsche-Telekom-AG
Dr. Robert Neuhauser,Corporate Executive VP and Global Head of People and Leaders,Siemens
Dr. Stephen Moir,Executive Director of Resources,The-City-of-Edinburgh-Council
Ed Cook,HR Specialist – Service Experience,BBC
Edmund Monk,CEO,Learning-Performance-Institute
Ella Bennett,HR Director,Sainsbury-Argos
Eve Read,Consulting Leader for DC & Financial Wellbeing,mercer
Gary Berney,Sales & Marketing Manager,Hire-Up
Gary Butterfield,Co-Founder and Executive Director,Juice
Gary Cookson,CEO,Epic-HR
Gavin Royston,Regional Sales Director UK,Globality-Health
Gethin Nadin,Director of Global Partnerships,Benefex
Graham Abbey,"Managing Director, EMEA",Bridge-Partnership
Guy Gumbrell,"Co-Director, Executive Education",Imperial-College-1
Gwen Carter Powell,Investors in People Practitioner,Investors-in-People
Harry Gooding,Director,Arch-Apprenticeship
Harry Housen,People & Development Director,itsu-1
Huw Carter,Language Technology Consultant,Rosetta-Stone
James Lee,Chief Design Officer,Lifeworks-blue-300x110
Jen Lawrence,HR Director,Lindt-Sprungli-1
Jennifer Scherler-Gormley,HR Lead for UK and Ireland and EMEAR Corporate Functions,Cisco
Jenny Roper,Editor - HRD Summit Chair,HR-logo_OFFICIAL
